feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,trial_type,planned_onset,duration,iti_dur,trial_num,calculation_dur,feedback_dur,post_induction_dur,subject,ses,task,run,onset,instructions_text.started,instructions_keypress.started,instructions_keypress.keys,instructions_keypress.rt,time0,fixation_6.started,fixation_6.stopped,fixation_3.started,feedback_circle_3.started,fixation_4.started,fixation_5.started,text_2.started,fixation_5.stopped,text_2.stopped,text.started,fixation_8.started,text.stopped,fixation_8.stopped,subject,session,run,category,outDirRoot,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,,,1,,10.552901166985976,10.552901166985976,space,7.535805583000183,,,,,,,,,,,,,,,0,1,1,None,C:/Users/ah7700/Desktop/rt-press-tasks/outDir,2023-11-09_17h07.33.755,induction,2022.2.4,None,
,,,,,,,,,,,,0,,,1,,,,,,18.106273207988124,,,,,,,,,,,,,,0,1,1,None,C:/Users/ah7700/Desktop/rt-press-tasks/outDir,2023-11-09_17h07.33.755,induction,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,18.106273207988124,78.10570325001027,78.10570325001027,86.12438516700058,86.12438516700058,92.11261516698869,92.11261516698869,98.10760637500789,98.10760637500789,98.10760637500789,98.10760637500789,,,,,,,,,,,,
